Year,Label,TeamPPG,TeamRPG,TeamAPG,TeamOPPG,IsHome,AgeTotal,HeightTotal,WeightTotal,PlayerPTSTotal,PlayerREBTotal,PlayerASTTotal,PlayerPIETotal
1996-97,0,19,7,13,5,1,1780,2623,348,137.4,31.1,62.2,18.0
1996-97,1,19,7,13,5,0,1780,2623,348,137.4,31.1,62.2,18.0
1997-98,1,25,13,16,2,1,1815,2664,372,299.5,66.6,139.9,38.0
1997-98,0,25,13,16,2,0,1815,2664,372,299.5,66.6,139.9,38.0
1998-99,0,26,17,23,4,0,1796,2617,357,440.9,98.9,205.0,55.0
1999-00,0,27,29,27,2,1,1800,2670,351,575.3,129.1,272.7,72.0
1999-00,0,27,29,27,2,0,1800,2670,351,575.3,129.1,272.7,72.0
2000-01,1,28,25,29,1,1,1979,2825,372,722.9,169.0,339.2,84.0
2000-01,1,28,25,29,1,0,1979,2825,372,722.9,169.0,339.2,84.0
2001-02,0,24,26,20,14,1,1828,2610,358,841.1,199.4,396.8,91.0
2001-02,0,24,26,20,14,0,1828,2610,358,841.1,199.4,396.8,91.0
2002-03,0,11,29,11,20,1,2406,3534,443,946.9,222.2,440.8,97.0
2002-03,1,11,29,11,20,0,2406,3534,443,946.9,222.2,440.8,97.0
2003-04,0,16,13,16,13,1,2276,3406,414,1139.8,263.9,530.0,118.081
2003-04,0,16,13,16,13,0,2276,3406,414,1139.8,263.9,530.0,118.081
2004-05,1,14,22,24,18,1,1818,2755,307,1313.8,300.0,599.9,130.38
2004-05,0,14,22,24,18,0,1818,2755,307,1313.8,300.0,599.9,130.38
2005-06,0,20,13,30,27,1,2235,3502,383,1532.3,343.3,683.2,140.997
2005-06,0,20,13,30,27,0,2235,3502,383,1532.3,343.3,683.2,140.997
2006-07,1,16,5,28,20,1,2221,3535,379,1681.8,373.2,743.5,146.431
2006-07,1,16,5,28,20,0,2221,3535,379,1681.8,373.2,743.5,146.431
2007-08,0,21,10,30,22,1,2235,3518,381,1835.1,402.0,804.8,148.988
2007-08,0,21,10,30,22,0,2235,3518,381,1835.1,402.0,804.8,148.988
2008-09,0,4,8,11,28,1,2198,3375,374,2039.9,435.4,889.7,149.658
2008-09,0,4,8,11,28,0,2198,3375,374,2039.9,435.4,889.7,149.658
2009-10,0,9,23,13,28,1,2140,3124,356,2223.9,470.2,966.3,157.283
2009-10,0,9,23,13,28,0,2140,3124,356,2223.9,470.2,966.3,157.283
2010-11,0,2,20,15,28,1,2234,3278,393,2391.9,504.7,1040.5,163.168
2010-11,0,2,20,15,28,0,2234,3278,393,2391.9,504.7,1040.5,163.168
2011-12,1,11,18,18,11,1,2250,3412,400,2542.6,537.6,1104.4,166.038
2011-12,0,11,18,18,11,0,2250,3412,400,2542.6,537.6,1104.4,166.038
2012-13,1,11,26,30,7,1,2269,3388,456,2714.8,576.3,1193.5,181.005
2012-13,0,11,26,30,7,0,2269,3388,456,2714.8,576.3,1193.5,181.005
2013-14,1,20,27,28,8,1,2507,3752,465,2867.5,606.3,1259.1,184.331
2013-14,0,20,27,28,8,0,2507,3752,465,2867.5,606.3,1259.1,184.331
